SubjectID,SNR,correctRate,confidence,reactionTime
1,-12,0.4,1,0.75711111111111
1,-8,0.2,1.3,1.26406
1,-4,0.8,2.55555555555556,1.41216666666666
1,0,0.8,4,1.31166666666668
1,12,0.8,3.55555555555556,1.16926
2,-12,0.5,1,0.568180000000001
2,-8,0.4,1.2,1.14965
2,-4,0.8,2.7,1.42013
2,0,0.8,3.7,1.27688888888889
2,12,1,4,1.10402999999999
3,-12,0.2,1.11111111111111,1.222825
3,-8,0.2,1.3,1.27093
3,-4,0.4,2.8,1.26664285714286
3,0,0.7,3.7,1.29121428571429
3,12,0.9,3.7,1.53781111111112
4,-12,0.2,1,1.05436
4,-8,0.3,1.1,1.54917777777778
4,-4,0.8,2.9,1.351975
4,0,0.8,4,1.42622499999999
4,12,1,4,1.3504
5,-12,0.2,1.2,0.915670000000004
5,-8,0.3,1.3,1.27017
5,-4,0.9,3.8,1.42655
5,0,0.7,3.1,1.37458571428572
5,12,1,4,1.37152
6,-12,0.2,1,1.23543
6,-8,0.2,1,1.44752000000001
6,-4,0.7,3,1.34842222222222
6,0,0.9,4,1.31766666666667
6,12,1,4,1.19554000000001
7,-12,0,1,0.823839999999992
7,-8,0.1,1.1,1.28159
7,-4,1,3.6,1.01819
7,0,1,4,1.09734
7,12,1,4,1.04266999999999
8,-12,0.2,1,0.586800000000005
8,-8,0.1,1,0.482166666666665
8,-4,0.6,2.8,1.4060375
8,0,0.9,4,1.43668888888889
8,12,0.8,4,1.45185555555556
9,-12,0.2,1,0.798549999999992
9,-8,0.1,1,1.13158
9,-4,0.9,3.3,1.35174999999999
9,0,1,4,0.935230000000001
9,12,1,4,0.962179999999999
10,-12,0.3,1,1.39646000000001
10,-8,0.1,1,1.58451
10,-4,0.6,2.6,1.499125
10,0,0.9,3.7,1.4154
10,12,0.8,3.7,1.30249
11,-12,0.4,1,0.954220000000009
11,-8,0.3,1,1.31286
11,-4,0.8,2.8,1.22555
11,0,0.9,3.88888888888889,1.17183
11,12,1,4,1.05075
12,-12,0.3,1,0.895399999999999
12,-8,0.4,1,1.33974
12,-4,1,2.8,1.2735
12,0,0.9,3.1,1.1052
12,12,1,4,1.19156000000001
13,-12,0.2,1,1.30645
13,-8,0.3,1.7,1.49291999999999
13,-4,0.7,3,1.20664285714286
13,0,1,4,1.20778
13,12,1,4,1.25478
14,-12,0.1,1,1.13585000000001
14,-8,0.3,1.1,1.50927000000001
14,-4,0.8,3.4,1.34297500000001
14,0,1,4,1.23149
14,12,1,4,1.17042999999999
15,-12,0.4,1,0.882090000000001
15,-8,0.2,1.6,1.14473000000001
15,-4,0.8,3.6,1.3701
15,0,1,4,1.29116
15,12,1,4,1.15801
16,-12,0.2,1.2,0.914510000000001
16,-8,0.3,2.1,1.26198000000001
16,-4,0.4,3.1,1.6725625
16,0,0.9,3.7,1.36615555555555
16,12,1,4,1.28194999999999
17,-12,0.3,1,0.995199999999993
17,-8,0.3,1.1,1.23834444444445
17,-4,0.7,3.2,1.2780111111111
17,0,0.9,4,1.37557777777778
17,12,0.9,4,1.25458888888889
18,-12,0.3,1,1.09592
18,-8,0.1,1.1,1.12973000000001
18,-4,0.8,3.1,1.27013
18,0,0.9,4,1.43502999999999
18,12,0.8,3.4,1.1457875
19,-12,0.3,1,1.19948
19,-8,0.3,1.2,1.5672
19,-4,0.6,3.2,1.26897142857143
19,0,1,4,1.06169
19,12,0.7,4,1.17265714285715
20,-12,0.1,1,0.574600000000004
20,-8,0.3,1,1.00224
20,-4,0.9,2.9,1.31075555555556
20,0,1,4,1.19185
20,12,1,4,0.969010000000002
21,-12,0.2,1,1.22607
21,-8,0.1,1.2,1.33989000000001
21,-4,0.7,2.5,1.2460111111111
21,0,0.9,3.9,1.14297777777777
21,12,0.9,4,1.22788888888889
22,-12,0.4,1,0.605779999999997
22,-8,0.3,1.1,1.28791
22,-4,0.8,2.8,1.24346666666667
22,0,0.9,4,1.33447777777777
22,12,0.9,3.7,1.24104444444444
23,-12,0.2,1,1.0064
23,-8,0.5,1.1,1.27642000000001
23,-4,0.7,3.1,1.2464375
23,0,1,4,1.06033
23,12,1,4,1.18779999999999
24,-12,0.2,1.1,1.21327
24,-8,0.3,1.7,1.18129
24,-4,0.7,2.9,1.20076666666668
24,0,1,4,1.10068000000001
24,12,1,3.9,0.900510000000013
25,-12,0.2,1,0.604590000000009
25,-8,0.5,1.5,1.06751
25,-4,0.7,4,1.422825
25,0,0.8,4,1.230675
25,12,0.7,4,1.15531249999999
26,-12,0.3,1,0.90979
26,-8,0.3,1.5,1.36365555555555
26,-4,0.8,3.7,1.1871
26,0,1,4,1.14078
26,12,0.9,4,1.02688888888889
27,-12,0.1,1,0.539439999999996
27,-8,0.2,1,1.08151999999999
27,-4,0.8,2.8,1.26497777777777
27,0,1,3.9,1.21057
27,12,1,4,1.16752000000001
28,-12,0.6,1,0.757300000000004
28,-8,0.4,1.2,1.22374444444444
28,-4,0.6,1.9,1.56188
28,0,0.9,3.7,1.40432
28,12,0.8,3.7,1.29995
29,-12,0.4,1,1.23485999999999
29,-8,0.3,1.6,1.57677499999999
29,-4,0.8,2.9,1.21275000000001
29,0,1,4,1.25790999999999
29,12,1,4,1.23019999999999
30,-12,0.2,1,0.75274999999999
30,-8,0.1,1.1,1.17182000000001
30,-4,0.8,3.33333333333333,1.1445125
30,0,0.9,3.7,1.18047777777778
30,12,1,4,0.96701
